full_name,stargazers_count,forks_count,subscribers_count,open_issues_count,size,network_count,language,has_wiki,has_pages,has_issues,topics_count,age_days,created_at,pushed_at
ziadoz/awesome-php,32531,5145,1677,68,1452,5145,,False,False,True,7,4556,2013-11-26T03:14:19Z,2026-04-23T15:42:25Z
valinet/ExplorerPatcher,32503,1317,279,334,9438,1317,C,True,False,True,0,1742,2021-08-09T14:17:24Z,2026-04-08T19:39:32Z
AstrBotDevs/AstrBot,32497,2234,75,1128,63733,2234,Python,True,False,True,16,1256,2022-12-08T13:27:46Z,2026-05-17T07:07:43Z
beego/beego,32404,5588,1147,19,11992,5588,Go,True,False,True,2,5192,2012-02-29T02:32:08Z,2026-04-08T20:42:08Z
vbenjs/vue-vben-admin,32395,8768,275,98,45595,8768,Vue,True,True,True,14,2137,2020-07-11T02:29:21Z,2026-05-16T03:19:21Z
labstack/echo,32387,2318,517,94,6955,2318,Go,True,False,True,13,4095,2015-03-01T17:43:01Z,2026-05-11T20:52:56Z
vercel/swr,32381,1336,212,195,8231,1336,TypeScript,False,False,True,13,2393,2019-10-28T18:16:01Z,2026-05-10T16:50:30Z
yunjey/pytorch-tutorial,32354,8243,620,88,13110,8243,Python,True,False,True,4,3356,2017-03-10T07:41:47Z,2023-08-15T10:17:50Z
seaweedfs/seaweedfs,32345,2817,523,729,186592,2817,Go,True,True,True,17,4325,2014-07-14T16:41:37Z,2026-05-18T08:03:01Z
microsoft/WSL,32317,1721,587,943,54627,1721,C++,False,True,True,0,3693,2016-04-06T17:32:56Z,2026-05-18T09:05:33Z
langchain-ai/langgraph,32310,5475,159,563,520228,5475,Python,False,True,True,18,1012,2023-08-09T18:33:12Z,2026-05-17T01:08:42Z
aristocratos/btop,32282,1014,125,485,9873,1014,C++,True,False,True,0,1837,2021-05-06T18:40:21Z,2026-05-16T22:47:27Z
lovell/sharp,32232,1405,225,124,59981,1405,JavaScript,False,False,True,17,4654,2013-08-19T20:24:24Z,2026-05-17T15:10:27Z
facebookresearch/fairseq,32222,6681,421,1353,26071,6681,Python,False,False,True,3,3183,2017-08-29T16:26:12Z,2025-09-30T11:16:06Z
google/material-design-lite,32174,4926,1149,430,56990,4926,HTML,True,False,True,5,4141,2015-01-14T22:01:33Z,2026-05-03T01:41:50Z
cockroachdb/cockroach,32163,4124,656,8315,3242764,4124,Go,True,False,True,6,4484,2014-02-06T00:18:47Z,2026-05-18T09:13:04Z
linera-io/linera-protocol,32144,2356,192,652,231611,2356,Rust,False,True,True,3,1611,2021-12-19T04:09:21Z,2026-05-18T09:11:45Z
surrealdb/surrealdb,32139,1266,157,658,52970,1266,Rust,False,False,True,18,1620,2021-12-09T15:03:29Z,2026-05-12T13:39:33Z
lizongying/my-tv,32120,3614,222,146,72954,3614,C,True,False,True,4,895,2023-12-04T12:18:39Z,2024-06-20T06:21:11Z
microsoft/MS-DOS,32110,4634,4,3,120196,4634,Assembly,False,False,False,1,2883,2018-06-25T18:26:02Z,2024-04-25T22:32:47Z
The-Run-Philosophy-Organization/run,32072,2563,381,47,411061,2563,,True,False,True,0,1499,2022-04-10T05:42:40Z,2024-07-31T03:44:51Z
numpy/numpy,32050,12372,599,2377,175317,12372,Python,True,False,True,2,5725,2010-09-13T23:02:39Z,2026-05-17T17:11:23Z
OWASP/CheatSheetSeries,32034,4454,563,49,2340584,4454,Python,False,True,True,7,2704,2018-12-21T14:26:43Z,2026-05-15T13:37:25Z
tokio-rs/tokio,32020,3054,315,421,17157,3054,Rust,False,False,True,3,3537,2016-09-09T22:31:36Z,2026-05-17T18:37:51Z
